"2018-02-10T15:00:00+00:00  Swansea CityvsBurnley"
"2018-02-10T17:30:00+00:00  Manchester CityvsLeicester City"
"2018-02-10T15:00:00+00:00  West Ham UnitedvsWatford"
"2017-12-03T13:30:00+00:00  AFC BournemouthvsSouthampton"
"2017-12-03T16:00:00+00:00  Manchester CityvsWest Ham United"
"2018-05-06T13:30:00+01:00  Manchester CityvsHuddersfield Town"
"2018-05-06T16:30:00+01:00  ChelseavsLiverpool"
"2018-05-06T16:30:00+01:00  ArsenalvsBurnley"
"2017-12-02T15:00:00+00:00  Brighton & Hove AlbionvsLiverpool"
"2017-12-02T15:00:00+00:00  Leicester CityvsBurnley"
"2017-12-02T15:00:00+00:00  EvertonvsHuddersfield Town"
"2017-12-02T15:00:00+00:00  WatfordvsTottenham Hotspur"
"2017-12-02T12:30:00+00:00  ChelseavsNewcastle United"
"2017-12-02T15:00:00+00:00  Stoke CityvsSwansea City"
"2017-12-02T15:00:00+00:00  West Bromwich AlbionvsCrystal Palace"
"2017-12-02T17:30:00+00:00  ArsenalvsManchester United"
"2018-04-15T13:30:00+01:00  Newcastle UnitedvsArsenal"
"2018-04-15T16:00:00+01:00  Manchester UnitedvsWest Bromwich Albion"
"2017-09-24T16:00:00+01:00  Brighton & Hove AlbionvsNewcastle United"
"2017-11-05T12:00:00+00:00  Tottenham HotspurvsCrystal Palace"
"2017-11-05T14:15:00+00:00  Manchester CityvsArsenal"
"2017-11-05T16:30:00+00:00  ChelseavsManchester United"
"2017-11-05T16:30:00+00:00  EvertonvsWatford"
"2018-03-17T15:00:00+00:00  AFC BournemouthvsWest Bromwich Albion"
"2018-03-17T15:00:00+00:00  Huddersfield TownvsCrystal Palace"
"2018-03-17T15:00:00+00:00  Stoke CityvsEverton"
"2018-03-17T17:30:00+00:00  LiverpoolvsWatford"
"2017-09-09T15:00:00+01:00  Brighton & Hove AlbionvsWest Bromwich Albion"
"2017-09-09T15:00:00+01:00  EvertonvsTottenham Hotspur"
"2017-09-09T12:30:00+01:00  Manchester CityvsLiverpool"
"2017-09-09T15:00:00+01:00  ArsenalvsAFC Bournemouth"
"2017-09-09T15:00:00+01:00  Leicester CityvsChelsea"
"2017-09-09T17:30:00+01:00  Stoke CityvsManchester United"
"2017-09-09T15:00:00+01:00  SouthamptonvsWatford"
"2017-09-23T12:30:00+01:00  West Ham UnitedvsTottenham Hotspur"
"2017-09-23T15:00:00+01:00  EvertonvsAFC Bournemouth"
"2017-09-23T15:00:00+01:00  Manchester CityvsCrystal Palace"
"2017-09-23T15:00:00+01:00  BurnleyvsHuddersfield Town"
"2017-09-23T15:00:00+01:00  SouthamptonvsManchester United"
"2017-09-23T15:00:00+01:00  Swansea CityvsWatford"
"2017-09-23T15:00:00+01:00  Stoke CityvsChelsea"
"2017-09-23T17:30:00+01:00  Leicester CityvsLiverpool"
"2018-04-22T13:30:00+01:00  ArsenalvsWest Ham United"
"2018-04-22T13:30:00+01:00  Stoke CityvsBurnley"
"2018-04-22T16:30:00+01:00  Manchester CityvsSwansea City"
"2018-04-29T16:30:00+01:00  Manchester UnitedvsArsenal"
"2018-04-29T14:15:00+01:00  West Ham UnitedvsManchester City"
"2018-04-28T12:30:00+01:00  LiverpoolvsStoke City"
"2018-04-28T15:00:00+01:00  Crystal PalacevsLeicester City"
"2018-04-28T15:00:00+01:00  BurnleyvsBrighton & Hove Albion"
"2018-04-28T15:00:00+01:00  Huddersfield TownvsEverton"
"2018-04-28T15:00:00+01:00  Newcastle UnitedvsWest Bromwich Albion"
"2018-04-28T15:00:00+01:00  SouthamptonvsAFC Bournemouth"
"2018-04-28T17:30:00+01:00  Swansea CityvsChelsea"
"2018-03-31T12:30:00+01:00  Crystal PalacevsLiverpool"
"2018-03-31T15:00:00+01:00  Manchester UnitedvsSwansea City"
"2018-03-31T15:00:00+01:00  Newcastle UnitedvsHuddersfield Town"
"2018-03-31T15:00:00+01:00  Brighton & Hove AlbionvsLeicester City"
"2018-03-31T15:00:00+01:00  WatfordvsAFC Bournemouth"
"2018-03-31T17:30:00+01:00  EvertonvsManchester City"
"2018-03-31T15:00:00+01:00  West Bromwich AlbionvsBurnley"
"2018-03-31T15:00:00+01:00  West Ham UnitedvsSouthampton"
"2018-02-24T12:30:00+00:00  Leicester CityvsStoke City"
"2018-02-24T15:00:00+00:00  AFC BournemouthvsNewcastle United"
"2018-02-24T15:00:00+00:00  Brighton & Hove AlbionvsSwansea City"
"2018-02-24T15:00:00+00:00  BurnleyvsSouthampton"
"2018-02-24T15:00:00+00:00  LiverpoolvsWest Ham United"
"2018-02-24T15:00:00+00:00  West Bromwich AlbionvsHuddersfield Town"
"2018-02-24T17:30:00+00:00  WatfordvsEverton"
"2017-08-12T12:30:00+01:00  WatfordvsLiverpool"
"2017-08-12T15:00:00+01:00  EvertonvsStoke City"
"2017-08-12T15:00:00+01:00  ChelseavsBurnley"
"2017-08-12T15:00:00+01:00  Crystal PalacevsHuddersfield Town"
"2017-08-12T15:00:00+01:00  SouthamptonvsSwansea City"
"2017-08-12T15:00:00+01:00  West Bromwich AlbionvsAFC Bournemouth"
"2017-08-12T17:30:00+01:00  Brighton & Hove AlbionvsManchester City"
"2017-10-14T15:00:00+01:00  Manchester CityvsStoke City"
"2017-10-14T15:00:00+01:00  Crystal PalacevsChelsea"
"2017-10-14T12:30:00+01:00  LiverpoolvsManchester United"
"2017-10-14T15:00:00+01:00  BurnleyvsWest Ham United"
"2017-10-14T15:00:00+01:00  Swansea CityvsHuddersfield Town"
"2017-10-14T17:30:00+01:00  WatfordvsArsenal"
"2017-10-14T15:00:00+01:00  Tottenham HotspurvsAFC Bournemouth"
"2017-12-26T12:30:00+00:00  Tottenham HotspurvsSouthampton"
"2017-12-26T15:00:00+00:00  ChelseavsBrighton & Hove Albion"
"2017-12-26T15:00:00+00:00  Huddersfield TownvsStoke City"
"2017-12-26T15:00:00+00:00  AFC BournemouthvsWest Ham United"
"2017-12-26T15:00:00+00:00  WatfordvsLeicester City"
"2017-12-26T15:00:00+00:00  Manchester UnitedvsBurnley"
"2017-12-26T17:30:00+00:00  LiverpoolvsSwansea City"
"2017-12-26T15:00:00+00:00  West Bromwich AlbionvsEverton"
"2017-12-09T12:30:00+00:00  West Ham UnitedvsChelsea"
"2017-12-09T15:00:00+00:00  BurnleyvsWatford"
"2017-12-09T15:00:00+00:00  Crystal PalacevsAFC Bournemouth"
"2017-12-09T15:00:00+00:00  Swansea CityvsWest Bromwich Albion"
"2017-12-09T15:00:00+00:00  Tottenham HotspurvsStoke City"
"2017-12-09T15:00:00+00:00  Huddersfield TownvsBrighton & Hove Albion"
"2017-12-09T17:30:00+00:00  Newcastle UnitedvsLeicester City"
"2017-12-30T15:00:00+00:00  ChelseavsStoke City"
"2017-12-30T15:00:00+00:00  AFC BournemouthvsEverton"
"2017-12-30T15:00:00+00:00  Huddersfield TownvsBurnley"
"2017-12-30T15:00:00+00:00  LiverpoolvsLeicester City"
"2017-12-30T15:00:00+00:00  WatfordvsSwansea City"
"2017-12-30T15:00:00+00:00  Newcastle UnitedvsBrighton & Hove Albion"
"2017-12-30T17:30:00+00:00  Manchester UnitedvsSouthampton"
"2018-04-14T12:30:00+01:00  SouthamptonvsChelsea"
"2018-04-14T15:00:00+01:00  BurnleyvsLeicester City"
"2018-04-14T15:00:00+01:00  Crystal PalacevsBrighton & Hove Albion"
"2018-04-14T15:00:00+01:00  Huddersfield TownvsWatford"
"2018-04-14T19:45:00+01:00  Tottenham HotspurvsManchester City"
"2018-04-14T15:00:00+01:00  Swansea CityvsEverton"
"2018-04-14T17:30:00+01:00  LiverpoolvsAFC Bournemouth"
"2017-08-26T15:00:00+01:00  Crystal PalacevsSwansea City"
"2017-08-26T15:00:00+01:00  Newcastle UnitedvsWest Ham United"
"2017-08-26T15:00:00+01:00  Huddersfield TownvsSouthampton"
"2017-08-26T12:30:00+01:00  AFC BournemouthvsManchester City"
"2017-08-26T15:00:00+01:00  WatfordvsBrighton & Hove Albion"
"2017-08-26T17:30:00+01:00  Manchester UnitedvsLeicester City"
"2018-03-10T15:00:00+00:00  EvertonvsBrighton & Hove Albion"
"2018-03-10T12:30:00+00:00  Manchester UnitedvsLiverpool"
"2018-03-10T15:00:00+00:00  Huddersfield TownvsSwansea City"
"2018-03-10T15:00:00+00:00  Newcastle UnitedvsSouthampton"
"2018-03-10T15:00:00+00:00  West Bromwich AlbionvsLeicester City"
"2018-03-10T17:30:00+00:00  ChelseavsCrystal Palace"
"2018-03-10T15:00:00+00:00  West Ham UnitedvsBurnley"
"2017-12-16T12:30:00+00:00  Leicester CityvsCrystal Palace"
"2017-12-16T15:00:00+00:00  ArsenalvsNewcastle United"
"2017-12-16T15:00:00+00:00  ChelseavsSouthampton"
"2017-12-16T15:00:00+00:00  Brighton & Hove AlbionvsBurnley"
"2017-12-16T15:00:00+00:00  WatfordvsHuddersfield Town"
"2017-12-16T16:00:00+00:00  Stoke CityvsWest Ham United"
"2017-12-16T17:30:00+00:00  Manchester CityvsTottenham Hotspur"
"2017-12-23T12:30:00+00:00  EvertonvsChelsea"
